OBJECTID,TRIP_ID,PICKUPTIME,PICKUPADDRESS,PICKUPLONG,PICKUPLAT
805188,805188,41207.89861,890 Boylston St Boston Ma 02199,-71.084005,42.348297
807625,807625,41213.03889,70 Tremont St Boston Ma 02108,-71.060602,42.3579
810080,810080,41213.99861,20 Lansdowne St Boston Ma 02215,-71.095192,42.347173
812591,812591,41210.90347,49 Fargo St Boston Ma 02210,-71.043665,42.346227
815041,815041,41184.75417,Unnamed Road Boston Ma,-71.022645,42.36554
817450,817450,41187.57778,610 Commercial St Boston Ma 02109,-71.057478,42.36788
819880,819880,41189.91944,3 Beacon St Boston Ma 02116,-71.060597,42.358145
822357,822357,41193.33056,767 Boylston St Boston Ma 02116,-71.08174,42.348873
824809,824809,41195.79861,27 Atlantic Ave Boston Ma 02110,-71.051115,42.363452
827263,827263,41198.86042,I-93 Boston Ma,-71.051428,42.355737
829701,829701,41201.625,130 Stuart St Boston Ma 02116,-71.065938,42.351392
832210,832210,41204.05069,427 Atlantic Ave Boston Ma 02110,-71.051327,42.35483
834688,834688,41207.57708,601 Commonwealth Ave Boston Ma,-71.102528,42.349398
837169,837169,41209.94792,366 Congress St Boston Ma 02210,-71.048018,42.350202
839648,839648,41213.73542,1730 Washington St Boston Ma 02118,-71.076608,42.33687
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
